vivienda_id,tecnico_id,fecha,tipo,avance_verificado,estado_relevado,observacion,diferencia_ong
SIM-2026-0177,2,27-08-2026,primera,38,Avanzada,Se verificó avance conforme al cronograma.,9
SIM-2026-0179,1,27-08-2026,primera,14,Iniciada,,-4
SIM-2026-0179,1,27-08-2026,segunda,14,Iniciada,Obra paralizada por falta de materiales.,1
SIM-2026-0182,1,27-08-2026,primera,10,Iniciada,Obra paralizada por falta de materiales.,-1
SIM-2026-0182,1,27-08-2026,segunda,10,Iniciada,Obra paralizada por falta de materiales.,2
SIM-2024-0187,5,27-08-2026,primera,13,Iniciada,,-1
SIM-2025-0188,2,27-08-2026,primera,3,Iniciada,Sin actividad registrada en visita.,2
SIM-2025-0188,2,27-08-2026,segunda,3,Iniciada,Sin actividad registrada en visita.,4
SIM-2025-0189,2,27-08-2026,primera,13,Iniciada,Obra paralizada por falta de materiales.,-7
SIM-2025-0189,2,27-08-2026,segunda,13,Iniciada,Obra paralizada por falta de materiales.,10
SIM-2025-0192,1,27-08-2026,primera,16,Iniciada,Equipo de trabajo reducido.,-3
SIM-2025-0192,1,27-08-2026,segunda,16,Iniciada,Terreno con problemas de acceso.,4
SIM-2026-0193,1,27-08-2026,primera,81,Avanzada,,-3
SIM-2025-0195,3,27-08-2026,primera,81,Avanzada,"Terminaciones en curso, sin observaciones.",-2
SIM-2025-0196,1,27-08-2026,primera,0,Iniciada,Sin actividad registrada en visita.,6
SIM-2025-0196,1,27-08-2026,segunda,5,Iniciada,Obra paralizada por falta de materiales.,-2
SIM-2026-0197,4,27-08-2026,primera,34,Iniciada,"Materiales en obra, trabajo activo.",-2
SIM-2026-0200,1,27-08-2026,primera,73,Avanzada,,14
SIM-2026-0205,1,27-08-2026,primera,14,Iniciada,,-7
SIM-2026-0205,1,27-08-2026,segunda,14,Iniciada,Obra paralizada por falta de materiales.,3
SIM-2025-0206,4,27-08-2026,primera,34,Iniciada,,-2
SIM-2025-0207,3,27-08-2026,primera,54,Avanzada,Se verificó avance conforme al cronograma.,15
SIM-2025-0210,1,27-08-2026,primera,33,Iniciada,,-3
SIM-2025-0210,1,27-08-2026,segunda,33,Iniciada,,4
SIM-2026-0211,1,27-08-2026,primera,12,Iniciada,Obra paralizada por falta de materiales.,-1
SIM-2025-0212,1,27-08-2026,primera,64,Avanzada,Obra en progreso normal.,11
SIM-2025-0214,1,27-08-2026,primera,66,Avanzada,,4
SIM-2023-0216,3,27-08-2026,primera,9,Iniciada,Equipo de trabajo reducido.,3
SIM-2026-0217,4,27-08-2026,primera,36,Avanzada,Se verificó avance conforme al cronograma.,3
SIM-2025-0218,1,27-08-2026,primera,53,Avanzada,,-7
SIM-2025-0218,1,27-08-2026,segunda,53,Avanzada,Obra en progreso normal.,3
SIM-2026-0220,3,27-08-2026,primera,0,Iniciada,,12
SIM-2026-0221,5,27-08-2026,primera,64,Avanzada,Obra en progreso normal.,7
SIM-2025-0222,3,27-08-2026,primera,33,Iniciada,,10
SIM-2026-0223,1,27-08-2026,primera,1,Iniciada,Equipo de trabajo reducido.,10
SIM-2026-0223,1,27-08-2026,segunda,4,Iniciada,,7
SIM-2025-0224,1,27-08-2026,primera,18,Iniciada,Sin actividad registrada en visita.,7
SIM-2025-0224,1,27-08-2026,segunda,30,Iniciada,,-5
SIM-2025-0225,1,27-08-2026,primera,42,Avanzada,,-6
SIM-2026-0228,4,27-08-2026,primera,8,Iniciada,Terreno con problemas de acceso.,15
SIM-2026-0228,4,27-08-2026,segunda,20,Iniciada,,3
SIM-2026-0229,3,27-08-2026,primera,60,Avanzada,Obra en progreso normal.,14
SIM-2026-0231,3,27-08-2026,primera,21,Iniciada,,10
SIM-2025-0233,1,27-08-2026,primera,17,Iniciada,,-1
SIM-2026-0234,6,27-08-2026,primera,83,Avanzada,,-6
SIM-2026-0234,6,27-08-2026,segunda,83,Avanzada,,10
SIM-2026-0235,5,27-08-2026,primera,75,Avanzada,,3
SIM-2026-0236,4,27-08-2026,primera,53,Avanzada,Obra en progreso normal.,12
SIM-2026-0237,1,27-08-2026,primera,40,Avanzada,,3
SIM-2026-0237,1,27-08-2026,segunda,40,Avanzada,,10
SIM-2026-0239,1,27-08-2026,primera,33,Iniciada,Se verificó avance conforme al cronograma.,5
SIM-2026-0240,1,27-08-2026,primera,17,Iniciada,,3
SIM-2026-0240,1,27-08-2026,segunda,20,Iniciada,,0
SIM-2026-0241,1,27-08-2026,primera,0,Iniciada,Terreno con problemas de acceso.,12
SIM-2026-0241,1,27-08-2026,segunda,11,Iniciada,,0
SIM-2026-0243,1,27-08-2026,primera,11,Iniciada,,-2
SIM-2026-0243,1,27-08-2026,segunda,11,Iniciada,,8
SIM-2025-0246,2,27-08-2026,primera,49,Avanzada,Obra en progreso normal.,8
SIM-2025-0246,2,27-08-2026,segunda,57,Avanzada,,0
SIM-2025-0251,1,27-08-2026,primera,14,Iniciada,Terreno con problemas de acceso.,7
SIM-2025-0251,1,27-08-2026,segunda,14,Iniciada,,7
SIM-2025-0253,4,27-08-2026,primera,91,Avanzada,,-1
SIM-2025-0256,1,27-08-2026,primera,58,Avanzada,"Materiales en obra, trabajo activo.",-5
SIM-2025-0256,1,27-08-2026,segunda,58,Avanzada,,1
SIM-2024-0261,4,27-08-2026,primera,85,Avanzada,,-6
SIM-2024-0261,4,27-08-2026,segunda,85,Avanzada,Obra próxima a finalizar.,7
SIM-2025-0264,1,27-08-2026,primera,91,Avanzada,Obra próxima a finalizar.,-2
SIM-2025-0264,1,27-08-2026,segunda,91,Avanzada,Calidad de construcción satisfactoria.,1
SIM-2026-0266,6,27-08-2026,primera,9,Iniciada,Obra paralizada por falta de materiales.,0
SIM-2026-0266,6,27-08-2026,segunda,9,Iniciada,,6
SIM-2026-0267,1,27-08-2026,primera,0,Iniciada,Sin actividad registrada en visita.,11
SIM-2026-0267,1,27-08-2026,segunda,1,Iniciada,Sin actividad registrada en visita.,4
SIM-2026-0268,2,27-08-2026,primera,64,Avanzada,Se verificó avance conforme al cronograma.,10
SIM-2025-0269,1,27-08-2026,primera,48,Avanzada,"Materiales en obra, trabajo activo.",3
SIM-2025-0269,1,27-08-2026,segunda,48,Avanzada,,7
SIM-2025-0271,6,27-08-2026,primera,55,Avanzada,,10
SIM-2025-0271,6,27-08-2026,segunda,55,Avanzada,,10
SIM-2025-0274,1,27-08-2026,primera,44,Avanzada,,7
SIM-2025-0274,1,27-08-2026,segunda,48,Avanzada,,3
SIM-2023-0275,1,27-08-2026,primera,63,Avanzada,,15
SIM-2026-0277,3,27-08-2026,primera,26,Iniciada,,4
SIM-2025-0280,1,27-08-2026,primera,13,Iniciada,,1
SIM-2026-0285,1,27-08-2026,primera,63,Avanzada,"Materiales en obra, trabajo activo.",13
SIM-2025-0289,1,27-08-2026,primera,65,Avanzada,Se verificó avance conforme al cronograma.,8
SIM-2025-0290,1,27-08-2026,primera,0,Iniciada,,9
SIM-2025-0290,1,27-08-2026,segunda,10,Iniciada,,-2
SIM-2025-0291,2,27-08-2026,primera,10,Iniciada,Equipo de trabajo reducido.,6
SIM-2025-0291,2,27-08-2026,segunda,11,Iniciada,Equipo de trabajo reducido.,5
SIM-2025-0294,1,27-08-2026,primera,3,Iniciada,Obra paralizada por falta de materiales.,7
SIM-2025-0294,1,27-08-2026,segunda,10,Iniciada,,0
SIM-2026-0296,3,27-08-2026,primera,18,Iniciada,Sin actividad registrada en visita.,-3
SIM-2026-0299,4,27-08-2026,primera,58,Avanzada,,14
SIM-2026-0299,4,27-08-2026,segunda,72,Avanzada,Calidad de construcción satisfactoria.,0
SIM-2025-0305,1,27-08-2026,primera,97,Avanzada,"Terminaciones en curso, sin observaciones.",-8
SIM-2025-0308,1,27-08-2026,primera,0,Iniciada,,14
SIM-2026-0309,1,27-08-2026,primera,33,Iniciada,Obra en progreso normal.,-5
SIM-2026-0309,1,27-08-2026,segunda,33,Iniciada,Obra en progreso normal.,8
SIM-2026-0311,5,27-08-2026,primera,0,Iniciada,Sin actividad registrada en visita.,13
SIM-2026-0312,3,27-08-2026,primera,13,Iniciada,Equipo de trabajo reducido.,-4
SIM-2026-0312,3,27-08-2026,segunda,13,Iniciada,,0
SIM-2026-0314,1,27-08-2026,primera,65,Avanzada,Se verificó avance conforme al cronograma.,9
SIM-2026-0314,1,27-08-2026,segunda,74,Avanzada,,0
SIM-2025-0315,4,27-08-2026,primera,22,Iniciada,Equipo de trabajo reducido.,-7
SIM-2025-0315,4,27-08-2026,segunda,22,Iniciada,Obra paralizada por falta de materiales.,7
SIM-2025-0316,1,27-08-2026,primera,19,Iniciada,Terreno con problemas de acceso.,-8
SIM-2025-0316,1,27-08-2026,segunda,19,Iniciada,Equipo de trabajo reducido.,-5
SIM-2025-0317,4,27-08-2026,primera,57,Avanzada,,-1
SIM-2026-0318,1,27-08-2026,primera,25,Iniciada,Equipo de trabajo reducido.,7
SIM-2026-0318,1,27-08-2026,segunda,25,Iniciada,,7
SIM-2026-0325,1,27-08-2026,primera,69,Avanzada,Obra en progreso normal.,-6
SIM-2026-0326,4,27-08-2026,primera,8,Iniciada,Obra paralizada por falta de materiales.,-6
SIM-2025-0327,1,27-08-2026,primera,71,Avanzada,,5
SIM-2025-0327,1,27-08-2026,segunda,74,Avanzada,,2
SIM-2026-0328,1,27-08-2026,primera,50,Avanzada,Se verificó avance conforme al cronograma.,5
SIM-2025-0329,3,27-08-2026,primera,16,Iniciada,,13
SIM-2023-0330,5,27-08-2026,primera,15,Iniciada,,-1
SIM-2026-0331,4,27-08-2026,primera,13,Iniciada,,8
SIM-2026-0334,1,27-08-2026,primera,0,Iniciada,,11
SIM-2026-0334,1,27-08-2026,segunda,14,Iniciada,Obra paralizada por falta de materiales.,-3
SIM-2025-0337,1,27-08-2026,primera,0,Iniciada,Equipo de trabajo reducido.,9
SIM-2025-0338,2,27-08-2026,primera,9,Iniciada,Sin actividad registrada en visita.,0
SIM-2026-0341,1,27-08-2026,primera,73,Avanzada,,9
SIM-2025-0343,6,27-08-2026,primera,17,Iniciada,,7
SIM-2025-0343,6,27-08-2026,segunda,25,Iniciada,Obra paralizada por falta de materiales.,-1
SIM-2026-0350,1,27-08-2026,primera,47,Avanzada,,11
SIM-2026-0350,1,27-08-2026,segunda,55,Avanzada,,3
SIM-2026-0351,6,27-08-2026,primera,86,Avanzada,,11
SIM-2026-0351,6,27-08-2026,segunda,92,Avanzada,,5
SIM-2023-0352,1,27-08-2026,primera,35,Iniciada,,3
SIM-2023-0352,1,27-08-2026,segunda,35,Iniciada,,5
SIM-2025-0355,1,27-08-2026,primera,11,Iniciada,,0
SIM-2025-0358,1,27-08-2026,primera,10,Iniciada,,11
SIM-2025-0358,1,27-08-2026,segunda,17,Iniciada,Terreno con problemas de acceso.,4
SIM-2026-0359,1,27-08-2026,primera,15,Iniciada,Sin actividad registrada en visita.,9
SIM-2026-0359,1,27-08-2026,segunda,24,Iniciada,Terreno con problemas de acceso.,0
SIM-2026-0363,6,27-08-2026,primera,0,Iniciada,,12
SIM-2026-0363,6,27-08-2026,segunda,2,Iniciada,Sin actividad registrada en visita.,10
SIM-2026-0366,1,27-08-2026,primera,15,Iniciada,Terreno con problemas de acceso.,10
SIM-2026-0366,1,27-08-2026,segunda,28,Iniciada,Sin actividad registrada en visita.,-3
SIM-2023-0370,2,27-08-2026,primera,16,Iniciada,,-2
SIM-2023-0370,2,27-08-2026,segunda,16,Iniciada,Terreno con problemas de acceso.,10
SIM-2026-0371,6,27-08-2026,primera,33,Iniciada,Obra en progreso normal.,5
SIM-2026-0374,2,27-08-2026,primera,1,Iniciada,Obra paralizada por falta de materiales.,5
SIM-2026-0374,2,27-08-2026,segunda,8,Iniciada,Obra paralizada por falta de materiales.,-2
SIM-2024-0375,5,27-08-2026,primera,17,Iniciada,Terreno con problemas de acceso.,-6
SIM-2026-0380,3,27-08-2026,primera,0,Iniciada,,15
SIM-2026-0383,5,27-08-2026,primera,39,Avanzada,,2
SIM-2026-0384,2,27-08-2026,primera,14,Iniciada,Terreno con problemas de acceso.,-1
SIM-2026-0385,2,27-08-2026,primera,12,Iniciada,Terreno con problemas de acceso.,-1
SIM-2026-0387,1,27-08-2026,primera,64,Avanzada,"Materiales en obra, trabajo activo.",4
SIM-2026-0387,1,27-08-2026,segunda,68,Avanzada,"Materiales en obra, trabajo activo.",0
SIM-2025-0389,1,27-08-2026,primera,99,Avanzada,,0
SIM-2025-0389,1,27-08-2026,segunda,99,Avanzada,,2
SIM-2026-0390,2,27-08-2026,primera,20,Iniciada,,6
SIM-2026-0392,1,27-08-2026,primera,26,Iniciada,Terreno con problemas de acceso.,-8
SIM-2026-0392,1,27-08-2026,segunda,26,Iniciada,Equipo de trabajo reducido.,7
SIM-2026-0395,4,27-08-2026,primera,54,Avanzada,Se verificó avance conforme al cronograma.,-6
SIM-2026-0395,4,27-08-2026,segunda,54,Avanzada,,7
SIM-2026-0398,1,27-08-2026,primera,35,Iniciada,"Materiales en obra, trabajo activo.",0
SIM-2026-0398,1,27-08-2026,segunda,35,Iniciada,Se verificó avance conforme al cronograma.,5
SIM-2025-0399,2,27-08-2026,primera,55,Avanzada,,4
SIM-2026-0400,6,27-08-2026,primera,44,Avanzada,"Materiales en obra, trabajo activo.",14
SIM-2026-0401,1,27-08-2026,primera,61,Avanzada,Se verificó avance conforme al cronograma.,4
SIM-2026-0401,1,27-08-2026,segunda,62,Avanzada,Se verificó avance conforme al cronograma.,3
SIM-2025-0406,2,27-08-2026,primera,1,Iniciada,,7
SIM-2026-0412,1,27-08-2026,primera,3,Iniciada,,14
SIM-2026-0412,1,27-08-2026,segunda,11,Iniciada,Obra paralizada por falta de materiales.,6
SIM-2026-0413,2,27-08-2026,primera,15,Iniciada,Sin actividad registrada en visita.,15
SIM-2026-0413,2,27-08-2026,segunda,27,Iniciada,Terreno con problemas de acceso.,3
SIM-2026-0414,5,27-08-2026,primera,6,Iniciada,Equipo de trabajo reducido.,0
SIM-2025-0415,1,27-08-2026,primera,3,Iniciada,,8
SIM-2025-0417,4,27-08-2026,primera,62,Avanzada,Obra en progreso normal.,4
SIM-2025-0417,4,27-08-2026,segunda,66,Avanzada,"Materiales en obra, trabajo activo.",0
SIM-2026-0418,2,27-08-2026,primera,51,Avanzada,Se verificó avance conforme al cronograma.,0
SIM-2025-0420,1,27-08-2026,primera,67,Avanzada,Obra en progreso normal.,5
SIM-2025-0420,1,27-08-2026,segunda,68,Avanzada,Obra en progreso normal.,4
SIM-2026-0421,4,27-08-2026,primera,87,Avanzada,,-6
SIM-2025-0426,4,27-08-2026,primera,6,Iniciada,Sin actividad registrada en visita.,15
SIM-2025-0432,1,27-08-2026,primera,46,Avanzada,Obra en progreso normal.,-1
SIM-2024-0434,5,27-08-2026,primera,98,Avanzada,Obra próxima a finalizar.,-5
SIM-2024-0435,1,27-08-2026,primera,1,Iniciada,,9
SIM-2026-0437,3,27-08-2026,primera,42,Avanzada,Obra en progreso normal.,-3
SIM-2026-0440,5,27-08-2026,primera,32,Iniciada,,0
SIM-2026-0441,1,27-08-2026,primera,22,Iniciada,Equipo de trabajo reducido.,-7
SIM-2026-0441,1,27-08-2026,segunda,22,Iniciada,,-1
SIM-2025-0442,1,27-08-2026,primera,20,Iniciada,,11
SIM-2025-0442,1,27-08-2026,segunda,28,Iniciada,Sin actividad registrada en visita.,3
SIM-2026-0443,6,27-08-2026,primera,31,Iniciada,,-5
SIM-2026-0443,6,27-08-2026,segunda,31,Iniciada,Se verificó avance conforme al cronograma.,-4
SIM-2024-0444,1,27-08-2026,primera,66,Avanzada,Se verificó avance conforme al cronograma.,1
SIM-2025-0445,3,27-08-2026,primera,70,Avanzada,,9
SIM-2026-0449,2,27-08-2026,primera,4,Iniciada,,12
SIM-2026-0449,2,27-08-2026,segunda,9,Iniciada,,7
SIM-2026-0451,1,27-08-2026,primera,0,Iniciada,Sin actividad registrada en visita.,5
SIM-2026-0451,1,27-08-2026,segunda,8,Iniciada,Terreno con problemas de acceso.,-4
SIM-2025-0453,1,27-08-2026,primera,18,Iniciada,,-5
SIM-2025-0453,1,27-08-2026,segunda,18,Iniciada,Obra paralizada por falta de materiales.,7
SIM-2025-0457,2,27-08-2026,primera,79,Avanzada,,-2
SIM-2025-0457,2,27-08-2026,segunda,79,Avanzada,Calidad de construcción satisfactoria.,-1
SIM-2025-0460,6,27-08-2026,primera,5,Iniciada,,12
SIM-2025-0460,6,27-08-2026,segunda,18,Iniciada,Equipo de trabajo reducido.,-1
SIM-2025-0463,1,27-08-2026,primera,81,Avanzada,"Terminaciones en curso, sin observaciones.",4
SIM-2025-0463,1,27-08-2026,segunda,84,Avanzada,"Terminaciones en curso, sin observaciones.",1
SIM-2026-0466,1,27-08-2026,primera,34,Iniciada,,-4
SIM-2026-0467,1,27-08-2026,primera,66,Avanzada,Se verificó avance conforme al cronograma.,-7
SIM-2025-0470,5,27-08-2026,primera,32,Iniciada,"Materiales en obra, trabajo activo.",1
SIM-2025-0473,1,27-08-2026,primera,59,Avanzada,Se verificó avance conforme al cronograma.,7
SIM-2025-0473,1,27-08-2026,segunda,66,Avanzada,Obra en progreso normal.,0
SIM-2026-0474,1,27-08-2026,primera,4,Iniciada,,14
SIM-2026-0474,1,27-08-2026,segunda,17,Iniciada,,1
SIM-2023-0475,2,27-08-2026,primera,13,Iniciada,Sin actividad registrada en visita.,6
SIM-2023-0475,2,27-08-2026,segunda,14,Iniciada,Obra paralizada por falta de materiales.,5
SIM-2025-0477,1,27-08-2026,primera,42,Avanzada,,6
SIM-2025-0477,1,27-08-2026,segunda,52,Avanzada,,-4
SIM-2025-0480,4,27-08-2026,primera,76,Avanzada,,-4
SIM-2025-0480,4,27-08-2026,segunda,76,Avanzada,,9
SIM-2026-0481,1,27-08-2026,primera,66,Avanzada,Obra en progreso normal.,-4
SIM-2026-0481,1,27-08-2026,segunda,66,Avanzada,Obra en progreso normal.,7
